FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
1	-27.885	-111.085	-97.891	-87.985	-75.924	-65.102	-62.378	-42.909	-40.29	-41.962	-40.355	-38.355	-38.001	-45.84	-44.494	-42.926	-36.202	-39.777	-41.318	-34.026	-42.54	-47.214	-44.942	-50.238	-54.006	-57.639	-50.755	-55.885	-64.512	-67.928	-80.294
2	-26.685	-100.36	-88.581	-80.683	-73.362	-60.647	-56.104	-54.643	-41.434	-35.049	-33.254	-39.71	-37.873	-41.746	-44.465	-44.869	-37.527	-37.353	-43.68	-34.935	-44.595	-43.941	-45.352	-43.792	-50.553	-50.942	-44.71	-50.941	-58.78	-63.617	-78.353
3	-26.735	-106.373	-90.362	-82.725	-72.765	-61.043	-55.188	-44.994	-36.645	-34.976	-32.675	-37.582	-36.258	-38.338	-40.65	-39.497	-39.528	-47.439	-45.11	-41.157	-46.75	-46.248	-47.06	-52.963	-59.815	-63.489	-60.708	-64.947	-64.014	-65.586	-73.859
4	-27.085	-108.12	-94.315	-87.671	-81.16	-66.327	-59.646	-44.216	-36.998	-36.901	-35.845	-34.503	-34.204	-37.272	-40.136	-44.789	-50.84	-55.812	-56.242	-43.835	-45.307	-43.204	-43.537	-46.937	-50.504	-54.001	-46.916	-46.407	-58.762	-67.759	-79.742
5	-24.147	-106.715	-91.34	-86.87	-77.592	-61.803	-54.826	-45.37	-35.222	-32.352	-30.326	-35.834	-35.836	-39.718	-40.522	-38.681	-33.077	-37.895	-42.531	-33.306	-43.153	-45.911	-49.128	-53.794	-66.686	-70.659	-63.083	-65.922	-70.467	-77.31	-88.035
6	-24.797	-103.702	-93.767	-85.357	-74.428	-64.305	-60.861	-45.677	-34.126	-33.686	-40.572	-35.573	-35.628	-42.247	-42.182	-37.992	-30.982	-35.255	-38.666	-34.937	-46.883	-46.496	-46.991	-51.466	-54.521	-57.505	-55.449	-54.254	-63.978	-70.316	-81.957
7	-26.122	-100.099	-89.576	-82.758	-70.233	-58.335	-51.258	-46.882	-35.946	-33.661	-35.345	-34.878	-32.163	-43.098	-42.141	-42.675	-39.52	-41.744	-42.681	-39.567	-51.253	-47.973	-51.921	-53.004	-59.428	-58.466	-47.847	-52.297	-61.851	-67.788	-77.081
8	-26.01	-102.578	-91.832	-86.006	-73.895	-61.729	-59.081	-38.921	-32.964	-36.759	-38.678	-34.807	-33.69	-40.885	-40.418	-41.96	-39.955	-44.882	-45.533	-39.698	-42.809	-39.92	-39.604	-44.953	-52.188	-56.808	-48.081	-50.754	-59.981	-67.787	-81.498
9	-26.66	-96.609	-92.296	-82.492	-76.069	-59.943	-56.699	-52.842	-34.619	-32.578	-35.736	-36.594	-36.238	-38.859	-38.608	-41.509	-42.096	-42.625	-45.247	-43.557	-53.592	-51.811	-51.194	-50.943	-57.598	-55.941	-45.884	-52.765	-64.984	-67.816	-79.407
10	-26.085	-104.782	-96.117	-85.035	-83.654	-66.632	-66.1	-49.35	-35.969	-34.947	-35.95	-36.077	-38.521	-41.206	-38.046	-35.787	-35.385	-39.711	-43.816	-36.548	-41.677	-46.568	-47.225	-48.632	-53.154	-54.37	-50.462	-53.654	-60.247	-68.513	-82.068
