L_FB,L_SB,L_F20,L_F25,L_F32,L_F40,L_F50,L_F63,L_F80,L_F100,L_F125,L_F160,L_F200,L_F250,L_F315,L_F400,L_F500,L_F630,L_F800,L_F1k,L_F1k25,L_F1k6,L_F2k,L_F2k5,L_F3k15,L_F4k,L_F5k,L_F6k3,L_F8k,L_F10k,L_F12k5,L_F16k,L_F20k,L_S20,L_S25,L_S32,L_S40,L_S50,L_S63,L_S80,L_S100,L_S125,L_S160,L_S200,L_S250,L_S315,L_S400,L_S500,L_S630,L_S800,L_S1k,L_S1k25,L_S1k6,L_S2k,L_S2k5,L_S3k15,L_S4k,L_S5k,L_S6k3,L_S8k,L_S10k,L_S12k5,L_S16k,L_S20k
0,0,9.1029,11.136,11.195,13.143,3.8806,4.9209,6.7942,10.081,19.315,14.775,12.073,13.399,14.732,14.425,13.878,12.936,11.819,9.8359,10.792,12.338,12.054,13.802,10.934,8.9314,8.1712,8.5055,9.7503,8.4484,8.5581,9.3069,9.3383,28.849,27.854,26.571,25.703,24.374,23.325,22.381,21.536,23.46,20.781,19.316,19.195,18.689,17.515,17.342,15.741,14.594,13.427,13.452,14.385,12.911,13.04,11.787,10.409,9.7465,9.6112,10.62,9.5095,10.242,10.687,9.8422
0,0,7.0705,10.788,11.261,11.038,5.141,5.6301,7.2282,11.199,18.464,12.353,11.153,11.68,12.645,12.86,13.096,12.213,10.207,9.9612,9.9946,11.016,11.032,12.228,10.086,8.4299,8.1192,8.4242,9.8983,8.1246,8.7127,9.0519,9.1646,28.926,27.877,26.557,25.554,24.313,23.353,22.342,21.543,23.314,20.667,19.223,19.031,18.541,17.357,17.242,15.669,14.42,13.37,13.379,14.208,12.8,12.884,11.697,10.302,9.6773,9.5844,10.591,9.4293,10.174,10.576,9.7965
0,0,11.96,13.633,9.9132,9.6092,7.2091,9.1396,6.7232,9.7375,18.331,12.979,10.688,12.772,16.464,15.397,15.298,14.774,11.253,9.9642,12.077,13.755,13.831,15.102,14.618,10.318,10.14,8.854,10.148,8.2391,9.1941,9.7464,9.8644,28.795,27.768,26.728,25.579,24.384,23.351,22.354,21.547,23.276,20.623,19.216,19.016,18.684,17.539,17.352,15.939,14.476,13.363,13.518,14.387,13.174,13.399,12.406,10.496,9.9223,9.5976,10.6,9.4153,10.159,10.575,9.8838
0,0,14.128,12.587,12.765,9.3126,8.6572,7.8868,7.3172,9.3404,21.511,16.548,11.192,15.509,16.043,14.328,14.407,14.69,10.619,9.6405,11.422,13.065,12.969,14.3,15.279,10.184,10.303,8.7999,10.212,8.5734,9.0745,9.8169,9.7745,28.829,27.508,26.541,25.531,24.243,23.282,22.264,21.42,23.41,20.663,19.117,19.06,18.611,17.388,17.253,15.999,14.375,13.355,13.491,14.346,13.17,13.493,12.954,10.537,10.071,9.5977,10.628,9.3848,10.093,10.54,9.8875
0,0,13.461,10.035,10.892,7.9036,7.2537,6.6381,5.155,8.1313,23.033,26.649,10,14.431,15.977,13.669,12.647,13.975,11.353,10.406,11.152,12.68,12.205,13.178,13.678,10.106,10.288,9.3108,10.347,8.9453,10.062,10.819,9.558,29.01,27.736,26.507,25.425,24.284,23.415,22.361,21.385,23.684,22.657,19.115,19.035,18.71,17.396,17.144,16.036,14.459,13.43,13.475,14.318,13.18,13.453,12.917,10.609,10.174,9.6709,10.657,9.4321,10.181,10.64,9.8694
0,0,13.855,8.0954,8.4837,6.5838,7.6926,13.5,16.21,12.601,22.41,30.56,11.815,14.717,19.209,15.068,14.455,14.1,12.339,11.577,11.17,11.51,11.798,12.024,12.276,9.9895,10.79,10.088,10.693,9.5466,10.874,11.454,9.725,28.725,27.615,26.465,25.439,24.257,23.337,22.346,21.408,23.599,25.127,19.073,19.014,19.123,17.49,17.176,16.022,14.544,13.506,13.455,14.13,13.11,13.339,12.791,10.603,10.375,9.8743,10.726,9.5574,10.378,10.839,9.9001
0,0,16.67,14.665,7.2658,7.9646,9.6505,13.371,14.641,11.489,21.404,29.237,13.144,12.779,16.789,13.687,12.577,13.333,12.03,11.599,13.498,18.214,20.177,17.615,17.4,18.692,15.34,13.946,18.112,21.717,25.69,26.156,17.531,29.103,27.857,26.556,25.543,24.444,23.44,22.533,21.567,23.702,25.584,19.175,19.001,19.07,17.506,17.072,16.1,14.641,13.669,13.788,15.177,15.246,14.446,13.946,13.186,11.546,10.799,12.867,14.552,17.86,18.332,12.154
0,0,19.75,20.646,17.251,12.031,14.158,16.677,18.185,15.112,19.403,26.332,11.47,10.654,14.46,11.602,10.804,11.627,10.814,10.681,11.818,16.317,17.691,15.594,15.019,16.319,13.625,12.374,15.801,19.046,22.927,23.514,15.635,28.858,27.75,26.542,25.358,24.265,23.359,22.594,21.468,23.524,25.286,19.002,18.737,18.808,17.269,16.867,15.857,14.527,13.477,13.621,15.091,15.058,14.299,13.706,13.057,11.507,10.745,12.711,14.322,17.606,18.135,12.155
0,0,18.358,21.326,19.786,20.373,17.993,18.556,18.347,17.365,19.566,23.649,12.437,12.351,13.919,11.677,11.364,12.126,10.589,10.933,11.441,16.75,18.23,16.591,15.399,15.399,14.218,12.757,15.672,17.655,22.955,23.921,17.088,28.937,27.835,26.71,25.66,24.474,23.59,22.647,21.672,23.498,25.071,19.111,18.842,18.789,17.274,16.845,15.904,14.576,13.627,13.638,15.453,15.608,14.726,13.999,13.237,11.963,11.081,13.063,14.453,18.434,19.199,13.232
0,0,21.62,21.998,27.663,29.839,29.889,29.898,29.747,28.545,26.728,26.693,24.648,23.894,22.585,21.434,20.865,20.131,18.8,18.272,16.768,17.429,17.886,16.736,15.548,15.16,14.072,13.237,14.796,15.76,20.288,21.213,15.437,28.982,27.838,27.235,26.883,26.126,25.573,25.101,24.116,24.434,25.606,21.236,20.805,20.266,18.931,18.452,17.514,16.225,15.425,14.843,15.953,16,15.128,14.349,13.547,12.33,11.528,13.212,14.37,18.161,18.914,13.257
